user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement
user_786,session_9439,Desktop,9,6,0,25,0.0,98,1920x1080,Firefox,en-IN,-330,landscape,Mumbai,6827.31,2025-06-01 05:39:25,318
user_189,session_2270,Mobile,6,9,5,20,1.34,122,414x896,Safari,en-IN,-330,landscape,Chennai,3039.26,2025-03-18 10:14:36,31
user_506,session_6083,Desktop,7,2,0,20,0.0,135,1440x900,Firefox,en-US,-330,landscape,Hyderabad,4187.15,2025-03-03 08:22:35,435
user_625,session_7512,Desktop,6,11,0,12,0.0,176,1920x1080,Chrome,en-IN,-330,landscape,Pune,6244.23,2025-02-02 07:28:52,244
user_536,session_6442,Mobile,5,9,3,0,0.0,40,414x896,Firefox,en-IN,-330,landscape,Ahmedabad,6533.71,2025-06-21 16:34:57,49
user_209,session_2518,Mobile,7,5,3,15,0.0,93,414x896,Safari,en-IN,-330,portrait,Delhi,3361.15,2025-02-21 13:58:15,19
user_529,session_6360,Desktop,3,8,0,14,0.0,119,1366x768,Edge,en-IN,-330,landscape,Delhi,227.67,2025-04-26 23:13:41,120
user_470,session_5651,Desktop,6,6,0,10,0.0,271,1920x1080,Chrome,en-IN,-330,landscape,Ahmedabad,1127.79,2025-02-09 20:25:59,342
user_485,session_5832,Desktop,5,14,0,23,0.0,95,1440x900,Safari,en-IN,-330,landscape,Hyderabad,904.13,2025-02-06 06:03:30,559
user_546,session_6564,Desktop,8,2,0,14,0.0,87,1440x900,Firefox,en-IN,-330,landscape,Mumbai,4014.1,2025-05-19 10:31:20,236
user_23,session_278,Desktop,10,12,0,22,0.0,224,1920x1080,Safari,en-IN,-330,landscape,Bengaluru,6747.97,2025-01-10 06:06:30,220
user_337,session_4056,Mobile,5,3,10,4,0.15,94,414x896,Edge,en-US,-330,portrait,Mumbai,1360.81,2025-04-15 10:02:50,50
user_323,session_3881,Desktop,11,9,0,21,0.0,102,1366x768,Safari,en-IN,-330,landscape,Mumbai,3824.61,2025-06-11 15:44:05,200
user_770,session_9242,Desktop,5,11,0,18,0.0,125,1920x1080,Safari,en-IN,-330,landscape,Kolkata,6298.8,2025-03-25 16:44:26,596
user_792,session_9505,Desktop,5,0,0,11,0.0,244,1920x1080,Safari,en-IN,-330,landscape,Kolkata,2654.77,2025-03-06 19:32:20,195
user_322,session_3871,Mobile,5,8,5,12,0.52,27,390x844,Firefox,en-US,-330,portrait,Mumbai,3875.47,2025-02-05 11:56:13,83
user_207,session_2490,Desktop,4,4,0,0,0.0,120,1366x768,Edge,en-IN,-330,landscape,Kolkata,1887.69,2025-04-21 19:32:40,138
user_93,session_1125,Desktop,11,8,0,12,0.0,180,1440x900,Safari,en-IN,-330,landscape,Hyderabad,6948.38,2025-01-19 19:32:43,402
user_381,session_4584,Desktop,7,10,0,15,0.0,55,1440x900,Firefox,en-IN,-330,landscape,Pune,4239.48,2025-02-13 23:17:33,167
user_131,session_1580,Desktop,9,15,0,13,0.0,249,1920x1080,Edge,hi-IN,-330,landscape,Hyderabad,711.04,2025-04-01 08:41:30,440
user_206,session_2479,Desktop,8,13,0,7,0.0,52,1366x768,Safari,en-IN,-330,landscape,Delhi,7231.66,2025-01-16 13:41:40,239
user_732,session_8789,Mobile,7,0,6,19,0.19,83,390x844,Firefox,en-IN,-330,landscape,Pune,5562.68,2025-02-27 09:43:26,17
user_162,session_1946,Desktop,2,15,0,15,0.0,66,1366x768,Chrome,hi-IN,-330,landscape,Ahmedabad,3939.18,2025-01-22 18:56:26,358
user_38,session_464,Mobile,3,3,6,13,0.55,66,360x640,Safari,en-IN,-330,landscape,Bengaluru,2202.28,2025-03-24 22:33:56,58
user_500,session_6005,Desktop,3,6,0,9,0.0,79,1440x900,Edge,hi-IN,-330,landscape,Kolkata,9709.21,2025-01-01 16:44:25,172
user_440,session_5287,Desktop,3,18,0,25,0.0,152,1366x768,Firefox,hi-IN,-330,landscape,Mumbai,6907.66,2025-03-03 09:31:47,660
user_66,session_795,Desktop,13,4,0,18,0.0,267,1440x900,Firefox,hi-IN,-330,landscape,Delhi,5701.44,2025-01-14 07:38:13,387
user_779,session_9349,Mobile,9,8,7,16,0.36,198,414x896,Edge,en-IN,-330,landscape,Hyderabad,3154.53,2025-02-20 12:26:08,39
user_582,session_6987,Desktop,8,5,0,15,0.0,162,1366x768,Chrome,en-IN,-330,landscape,Hyderabad,4057.35,2025-05-20 20:26:57,92
user_632,session_7591,Mobile,5,10,1,1,0.9,132,390x844,Firefox,en-IN,-330,portrait,Ahmedabad,828.18,2025-04-17 05:31:04,14
user_410,session_4931,Desktop,7,4,0,18,0.0,93,1366x768,Edge,en-US,-330,landscape,Ahmedabad,4895.23,2025-06-03 21:58:34,181
user_546,session_6558,Desktop,7,7,0,17,0.0,139,1440x900,Firefox,en-IN,-330,landscape,Mumbai,5135.5,2025-04-19 15:27:34,129
user_700,session_8408,Desktop,7,10,0,24,0.0,32,1366x768,Safari,en-US,-330,landscape,Chennai,1784.74,2025-05-03 17:56:15,188
user_782,session_9393,Desktop,8,11,0,18,0.0,44,1440x900,Firefox,en-US,-330,landscape,Mumbai,6110.25,2025-02-19 10:13:16,324
user_445,session_5341,Desktop,6,7,0,9,0.0,287,1366x768,Firefox,en-IN,-330,landscape,Pune,1718.98,2025-02-18 11:30:24,167
user_294,session_3537,Desktop,7,8,0,13,0.0,180,1920x1080,Chrome,en-US,-330,landscape,Pune,4873.06,2025-03-24 09:12:38,239
user_484,session_5813,Desktop,4,5,0,1,0.0,209,1920x1080,Chrome,en-IN,-330,landscape,Bengaluru,10378.09,2025-04-01 19:28:55,369
user_460,session_5528,Desktop,4,4,0,8,0.0,249,1440x900,Chrome,en-IN,-330,landscape,Bengaluru,4663.65,2025-01-21 14:28:47,117
user_368,session_4427,Desktop,3,5,0,19,0.0,178,1920x1080,Safari,en-IN,-330,landscape,Pune,9193.55,2025-04-28 13:05:54,244
user_312,session_3752,Desktop,6,0,0,19,0.0,47,1920x1080,Safari,en-IN,-330,landscape,Mumbai,3153.75,2025-06-24 10:20:03,262
user_446,session_5360,Desktop,5,9,0,11,0.0,81,1440x900,Chrome,hi-IN,-330,landscape,Mumbai,1960.81,2025-02-14 20:59:58,548
user_418,session_5025,Desktop,8,6,0,14,0.0,145,1920x1080,Edge,en-IN,-330,landscape,Bengaluru,3010.81,2025-04-12 18:01:55,457
user_54,session_654,Desktop,6,6,0,11,0.0,123,1920x1080,Chrome,en-US,-330,landscape,Mumbai,1689.86,2025-02-01 17:50:11,184
user_352,session_4236,Mobile,6,7,6,7,0.0,37,360x640,Edge,en-IN,-330,portrait,Mumbai,5143.29,2025-02-13 12:28:16,38
user_144,session_1731,Mobile,3,2,1,6,1.36,89,390x844,Edge,en-US,-330,landscape,Hyderabad,2209.56,2025-01-21 16:45:09,37
user_616,session_7393,Mobile,4,13,1,17,0.32,133,414x896,Safari,en-IN,-330,landscape,Ahmedabad,5587.02,2025-01-18 09:55:25,60
user_303,session_3645,Desktop,6,2,0,16,0.0,190,1440x900,Edge,en-US,-330,landscape,Bengaluru,9077.98,2025-02-22 10:07:43,271
user_603,session_7242,Desktop,2,3,0,9,0.0,97,1920x1080,Edge,en-IN,-330,landscape,Kolkata,7491.09,2025-01-29 13:25:41,269
user_339,session_4070,Desktop,6,13,0,23,0.0,157,1920x1080,Edge,en-IN,-330,landscape,Hyderabad,358.83,2025-01-01 09:28:27,224
user_656,session_7880,Mobile,4,7,0,10,0.63,95,360x640,Edge,en-IN,-330,portrait,Delhi,6008.94,2025-01-21 12:32:46,35
user_97,session_1171,Mobile,7,7,8,19,0.43,77,360x640,Chrome,en-US,-330,landscape,Pune,3978.98,2025-04-30 20:17:36,52
user_551,session_6622,Desktop,5,14,0,13,0.0,171,1440x900,Safari,en-IN,-330,landscape,Kolkata,1932.6,2025-03-10 10:30:53,227
user_259,session_3111,Tablet,5,14,4,14,0.0,55,768x1024,Safari,en-IN,-330,landscape,Chennai,5404.56,2025-01-02 07:53:28,15
user_793,session_9526,Mobile,9,10,0,13,0.86,98,390x844,Edge,en-IN,-330,landscape,Bengaluru,2407.85,2025-03-11 13:26:08,59
user_234,session_2814,Desktop,3,11,0,19,0.0,88,1440x900,Edge,en-IN,-330,landscape,Mumbai,1318.24,2025-02-27 11:41:48,338
user_358,session_4305,Mobile,13,2,2,12,0.9,111,390x844,Chrome,en-IN,-330,portrait,Chennai,9984.99,2025-02-10 13:36:51,20
user_510,session_6122,Desktop,0,7,0,15,0.0,167,1366x768,Edge,en-US,-330,landscape,Chennai,4252.94,2025-03-14 20:32:49,43
user_376,session_4520,Mobile,7,7,6,20,1.22,48,390x844,Edge,en-IN,-330,portrait,Ahmedabad,970.21,2025-02-11 11:44:53,9
user_323,session_3887,Desktop,5,12,0,12,0.0,144,1366x768,Safari,en-IN,-330,landscape,Mumbai,3483.72,2025-01-25 13:19:14,160
user_160,session_1924,Desktop,2,7,0,8,0.0,73,1440x900,Firefox,en-IN,-330,landscape,Chennai,3016.9,2025-05-29 18:51:56,338
user_388,session_4661,Tablet,9,8,8,19,0.41,81,768x1024,Safari,en-IN,-330,portrait,Pune,6505.21,2025-06-20 11:31:03,12
user_797,session_9573,Desktop,8,0,0,7,0.0,202,1920x1080,Chrome,en-IN,-330,landscape,Kolkata,3433.39,2025-04-04 21:38:06,334
user_691,session_8296,Desktop,3,5,0,1,0.0,87,1440x900,Chrome,en-IN,-330,landscape,Chennai,11253.11,2025-03-23 16:53:00,185
user_523,session_6279,Mobile,5,8,4,18,0.17,113,414x896,Safari,en-IN,-330,portrait,Mumbai,4727.08,2025-01-18 11:01:16,49
user_479,session_5756,Desktop,3,8,0,11,0.0,92,1440x900,Safari,en-IN,-330,landscape,Chennai,4555.91,2025-06-12 11:16:35,385
user_187,session_2248,Mobile,3,10,4,12,0.73,52,360x640,Safari,en-IN,-330,portrait,Hyderabad,8672.22,2025-01-29 12:07:05,77
user_447,session_5366,Mobile,9,10,12,0,0.34,66,390x844,Safari,en-US,-330,portrait,Kolkata,3122.82,2025-03-02 12:41:47,60
user_159,session_1915,Mobile,3,11,8,3,1.16,59,390x844,Edge,en-IN,-330,portrait,Pune,5530.12,2025-03-21 16:57:57,17
user_232,session_2787,Mobile,2,10,2,8,0.0,86,360x640,Safari,en-IN,-330,portrait,Chennai,4074.85,2025-05-22 19:58:40,77
user_391,session_4704,Desktop,5,2,0,8,0.0,65,1366x768,Safari,en-IN,-330,landscape,Chennai,1778.63,2025-05-09 15:53:15,446
user_74,session_891,Desktop,1,1,0,16,0.0,204,1366x768,Edge,en-IN,-330,landscape,Kolkata,5737.36,2025-03-16 10:26:44,248
user_537,session_6448,Mobile,6,0,4,11,0.65,96,360x640,Chrome,en-IN,-330,portrait,Bengaluru,1252.32,2025-06-21 15:48:11,24
user_602,session_7225,Mobile,5,8,4,20,0.7,74,414x896,Firefox,en-IN,-330,landscape,Ahmedabad,283.86,2025-05-23 08:51:14,40
user_400,session_4810,Mobile,9,6,6,21,1.11,36,360x640,Chrome,en-IN,-330,portrait,Mumbai,1602.23,2025-05-30 23:42:43,36
user_496,session_5964,Desktop,8,7,0,20,0.0,64,1440x900,Chrome,en-IN,-330,landscape,Delhi,2403.95,2025-04-22 08:54:43,629
user_89,session_1076,Desktop,6,9,0,15,0.0,200,1440x900,Edge,en-IN,-330,landscape,Pune,5118.82,2025-03-07 17:40:37,285
user_98,session_1183,Mobile,4,5,7,24,0.79,78,414x896,Chrome,en-US,-330,portrait,Chennai,3107.69,2025-03-10 11:04:55,59
user_269,session_3239,Mobile,4,16,5,6,0.23,154,414x896,Chrome,hi-IN,-330,portrait,Chennai,2444.02,2025-01-20 10:08:02,29
user_244,session_2934,Tablet,0,3,10,22,0.97,197,768x1024,Safari,en-IN,-330,landscape,Pune,5211.99,2025-05-19 14:27:40,22
user_118,session_1423,Desktop,6,6,0,22,0.0,328,1440x900,Chrome,en-IN,-330,landscape,Kolkata,551.38,2025-01-31 22:41:29,458
user_167,session_2005,Desktop,9,3,0,3,0.0,59,1920x1080,Safari,hi-IN,-330,landscape,Bengaluru,4803.33,2025-01-25 09:34:26,517
user_23,session_285,Desktop,7,6,0,14,0.0,199,1920x1080,Safari,en-IN,-330,landscape,Bengaluru,6438.78,2025-04-09 07:26:11,333
user_86,session_1039,Mobile,5,12,6,1,0.72,171,414x896,Safari,en-IN,-330,portrait,Bengaluru,164.0,2025-05-14 18:54:21,5
user_348,session_4186,Desktop,1,3,0,20,0.0,188,1440x900,Edge,en-IN,-330,landscape,Pune,7419.9,2025-02-27 21:22:23,198
user_505,session_6068,Desktop,1,1,0,3,0.0,33,1440x900,Firefox,en-IN,-330,landscape,Kolkata,3568.58,2025-04-06 16:43:44,215
user_370,session_4446,Desktop,4,5,0,0,0.0,52,1920x1080,Firefox,en-IN,-330,landscape,Hyderabad,3494.26,2025-02-01 12:14:31,394
user_505,session_6063,Desktop,0,9,0,14,0.0,27,1440x900,Firefox,en-IN,-330,landscape,Kolkata,7273.77,2025-06-07 13:12:08,259
user_666,session_8002,Desktop,2,9,0,0,0.0,172,1440x900,Edge,en-IN,-330,landscape,Chennai,4700.51,2025-03-18 03:15:35,67
user_328,session_3939,Mobile,3,12,9,18,0.26,125,360x640,Chrome,en-IN,-330,landscape,Mumbai,297.45,2025-03-25 13:27:14,51
user_346,session_4160,Mobile,10,6,3,12,0.0,99,390x844,Chrome,en-IN,-330,portrait,Kolkata,3038.94,2025-04-23 17:52:33,36
user_148,session_1785,Mobile,9,7,8,11,0.25,75,390x844,Firefox,en-IN,-330,landscape,Kolkata,450.75,2025-01-13 06:07:00,46
user_766,session_9193,Mobile,6,3,1,14,0.75,156,360x640,Firefox,en-US,-330,portrait,Bengaluru,9413.91,2025-04-14 11:16:09,35
user_49,session_598,Desktop,3,10,0,13,0.0,58,1440x900,Edge,en-IN,-330,landscape,Ahmedabad,6754.39,2025-02-18 15:53:30,449
user_709,session_8514,Desktop,5,5,0,17,0.0,67,1920x1080,Edge,en-IN,-330,landscape,Pune,4630.33,2025-05-11 15:19:26,329
user_19,session_239,Desktop,2,0,0,12,0.0,67,1366x768,Firefox,en-IN,-330,landscape,Ahmedabad,3886.28,2025-02-11 08:57:42,360
user_549,session_6589,Mobile,2,13,3,10,0.98,177,414x896,Safari,en-US,-330,landscape,Hyderabad,452.65,2025-04-03 14:57:55,68
user_450,session_5410,Mobile,1,12,7,8,0.0,93,414x896,Chrome,hi-IN,-330,landscape,Chennai,8467.31,2025-04-03 10:33:14,69
user_165,session_1991,Mobile,3,2,4,12,0.36,177,414x896,Firefox,en-US,-330,portrait,Bengaluru,2645.9,2025-06-03 10:37:52,52
user_724,session_8691,Desktop,4,15,0,9,0.0,200,1366x768,Edge,en-IN,-330,landscape,Mumbai,3966.36,2025-04-08 12:32:16,151
user_478,session_5738,Desktop,5,0,0,5,0.0,164,1920x1080,Safari,en-US,-330,landscape,Bengaluru,909.5,2025-06-27 11:58:43,245
user_600,session_7205,Mobile,1,13,1,14,0.34,161,414x896,Edge,en-IN,-330,portrait,Bengaluru,10802.54,2025-03-07 16:47:04,54
user_482,session_5790,Desktop,3,9,0,19,0.0,60,1366x768,Safari,en-IN,-330,landscape,Chennai,8682.09,2025-03-25 16:42:37,0
user_675,session_8101,Tablet,7,4,4,7,0.53,52,768x1024,Edge,en-IN,-330,portrait,Ahmedabad,6337.85,2025-01-14 14:41:03,26
user_247,session_2976,Desktop,8,4,0,16,0.0,198,1440x900,Safari,en-US,-330,landscape,Bengaluru,3424.38,2025-04-17 20:24:42,483
user_137,session_1651,Desktop,3,15,0,10,0.0,105,1366x768,Safari,hi-IN,-330,landscape,Pune,11142.23,2025-04-03 22:23:34,334
user_376,session_4513,Mobile,6,4,2,15,1.16,25,390x844,Edge,en-IN,-330,portrait,Ahmedabad,700.81,2025-01-07 07:59:35,0
user_99,session_1189,Desktop,6,6,0,20,0.0,212,1366x768,Edge,en-US,-330,landscape,Kolkata,5254.04,2025-04-27 18:09:21,35
user_81,session_981,Mobile,3,17,7,14,0.53,150,390x844,Safari,en-IN,-330,landscape,Delhi,3857.01,2025-06-24 12:31:06,19
user_141,session_1698,Tablet,2,7,3,18,0.76,8,810x1080,Safari,en-IN,-330,landscape,Kolkata,2438.1,2025-04-07 03:41:57,42
user_625,session_7506,Desktop,10,7,0,13,0.0,158,1920x1080,Chrome,en-IN,-330,landscape,Pune,4102.4,2025-01-07 06:26:26,379
user_415,session_4981,Mobile,7,9,4,15,0.29,82,390x844,Chrome,en-US,-330,portrait,Kolkata,3634.73,2025-05-30 18:44:44,46
user_370,session_4443,Desktop,9,9,0,21,0.0,72,1920x1080,Firefox,en-IN,-330,landscape,Hyderabad,8118.23,2025-04-02 14:17:28,318
user_794,session_9531,Desktop,7,3,0,10,0.0,81,1920x1080,Safari,en-IN,-330,landscape,Ahmedabad,6008.28,2025-01-25 15:59:22,361
user_528,session_6340,Tablet,3,6,8,3,0.66,286,768x1024,Chrome,en-IN,-330,portrait,Mumbai,684.52,2025-04-02 07:10:54,18
user_6,session_73,Desktop,4,8,0,23,0.0,357,1920x1080,Chrome,en-IN,-330,landscape,Delhi,12751.37,2025-01-18 15:03:26,208
user_482,session_5787,Desktop,5,2,0,21,0.0,16,1366x768,Safari,en-IN,-330,landscape,Chennai,9437.69,2025-06-08 11:22:27,89
user_252,session_3030,Desktop,0,12,0,29,0.0,254,1366x768,Edge,en-IN,-330,landscape,Hyderabad,6737.08,2025-04-22 19:23:06,223
user_246,session_2956,Mobile,0,4,6,10,1.03,65,390x844,Edge,en-IN,-330,landscape,Hyderabad,7025.44,2025-04-11 14:55:58,0
user_218,session_2625,Desktop,4,6,0,13,0.0,183,1366x768,Safari,en-US,-330,landscape,Pune,6900.91,2025-03-01 12:42:31,361
user_674,session_8099,Mobile,3,0,4,0,0.55,45,414x896,Edge,en-IN,-330,landscape,Kolkata,2993.71,2025-03-17 12:45:08,61
user_353,session_4247,Desktop,3,3,0,1,0.0,194,1920x1080,Safari,en-IN,-330,landscape,Ahmedabad,10941.22,2025-05-22 23:12:47,229
user_432,session_5185,Tablet,0,2,0,12,0.64,156,810x1080,Firefox,en-IN,-330,landscape,Chennai,3186.37,2025-04-07 12:17:37,32
user_29,session_349,Desktop,3,16,0,25,0.0,48,1920x1080,Firefox,en-IN,-330,landscape,Pune,4624.1,2025-05-07 20:58:46,257
user_265,session_3188,Tablet,8,12,7,13,0.76,90,768x1024,Firefox,en-US,-330,portrait,Bengaluru,3218.49,2025-03-10 21:17:44,40
user_678,session_8140,Desktop,7,6,0,17,0.0,44,1920x1080,Safari,en-IN,-330,landscape,Mumbai,6132.8,2025-02-01 19:16:01,210
user_124,session_1495,Mobile,10,0,3,22,0.1,130,414x896,Firefox,en-IN,-330,landscape,Ahmedabad,750.05,2025-05-09 19:29:12,19
user_254,session_3056,Mobile,7,9,2,15,0.81,120,390x844,Edge,en-IN,-330,landscape,Bengaluru,1918.23,2025-03-16 10:14:35,8
user_409,session_4911,Mobile,4,14,2,12,0.5,66,414x896,Chrome,en-IN,-330,landscape,Pune,3557.95,2025-01-16 20:58:26,40
user_85,session_1027,Desktop,11,16,0,25,0.0,226,1920x1080,Edge,en-US,-330,landscape,Ahmedabad,1443.3,2025-06-16 17:23:03,389
user_389,session_4676,Desktop,3,5,0,11,0.0,79,1440x900,Firefox,en-IN,-330,landscape,Chennai,2139.61,2025-02-07 14:11:15,248
user_277,session_3335,Mobile,4,9,3,15,0.56,69,390x844,Firefox,en-IN,-330,portrait,Ahmedabad,5057.88,2025-03-12 16:20:38,33
user_387,session_4653,Desktop,9,7,0,15,0.0,242,1440x900,Firefox,en-US,-330,landscape,Delhi,7307.9,2025-03-24 15:38:29,484
user_152,session_1833,Mobile,6,9,4,30,0.74,41,360x640,Safari,en-IN,-330,portrait,Ahmedabad,1114.16,2025-05-19 16:51:13,27
user_483,session_5798,Mobile,7,5,6,17,0.86,326,390x844,Safari,en-IN,-330,portrait,Mumbai,4127.56,2025-04-01 13:14:10,12
user_518,session_6226,Desktop,0,6,0,17,0.0,69,1920x1080,Edge,en-US,-330,landscape,Delhi,1706.27,2025-03-14 23:13:13,0
user_242,session_2910,Desktop,12,5,0,6,0.0,76,1366x768,Edge,en-IN,-330,landscape,Ahmedabad,2924.33,2025-05-05 17:36:20,345
user_533,session_6404,Desktop,6,12,0,7,0.0,55,1440x900,Edge,en-IN,-330,landscape,Chennai,5523.96,2025-05-25 21:26:42,217
user_761,session_9134,Desktop,10,13,0,1,0.0,147,1920x1080,Safari,en-IN,-330,landscape,Chennai,6681.24,2025-02-11 09:56:28,425
user_544,session_6533,Tablet,7,6,2,12,0.24,254,768x1024,Safari,en-US,-330,landscape,Kolkata,6999.24,2025-02-25 14:13:10,16
user_696,session_8354,Desktop,13,9,0,18,0.0,48,1920x1080,Firefox,en-US,-330,landscape,Delhi,1276.51,2025-02-06 22:22:55,291
user_211,session_2538,Mobile,7,13,1,20,0.94,98,414x896,Safari,hi-IN,-330,landscape,Delhi,65.94,2025-06-18 13:16:06,48
user_697,session_8371,Mobile,8,5,1,12,1.36,57,390x844,Firefox,en-IN,-330,landscape,Pune,4151.94,2025-06-10 20:10:49,47
user_9,session_118,Desktop,8,16,0,10,0.0,104,1440x900,Safari,en-IN,-330,landscape,Kolkata,725.76,2025-02-21 13:28:00,480
user_640,session_7682,Desktop,10,11,0,22,0.0,75,1920x1080,Safari,en-IN,-330,landscape,Chennai,916.63,2025-03-23 18:33:38,275
user_742,session_8910,Tablet,9,14,5,23,0.81,84,768x1024,Chrome,en-IN,-330,portrait,Pune,2161.03,2025-05-28 20:54:25,76
user_277,session_3328,Mobile,9,1,8,4,0.41,63,390x844,Firefox,en-IN,-330,portrait,Ahmedabad,6711.27,2025-06-29 17:31:12,68
user_525,session_6306,Mobile,8,11,5,17,0.32,48,390x844,Edge,en-US,-330,portrait,Kolkata,6718.92,2025-05-16 22:43:16,0
user_421,session_5056,Mobile,5,9,7,7,0.07,123,390x844,Edge,en-IN,-330,landscape,Kolkata,391.94,2025-06-20 14:17:01,48
user_146,session_1762,Mobile,10,6,0,15,0.14,161,390x844,Firefox,en-IN,-330,landscape,Pune,1105.09,2025-03-23 14:25:56,21
user_43,session_517,Desktop,6,12,0,18,0.0,116,1440x900,Chrome,en-IN,-330,landscape,Kolkata,1494.12,2025-01-15 14:48:25,380
user_381,session_4576,Desktop,2,4,0,9,0.0,72,1440x900,Firefox,en-IN,-330,landscape,Pune,4160.35,2025-03-01 23:56:30,571
user_687,session_8252,Desktop,2,11,0,10,0.0,162,1920x1080,Safari,en-IN,-330,landscape,Bengaluru,7350.19,2025-05-17 13:53:06,305
user_395,session_4752,Mobile,6,2,3,17,0.53,285,360x640,Chrome,en-IN,-330,portrait,Mumbai,4884.53,2025-03-27 13:54:46,12
user_232,session_2789,Mobile,1,8,7,21,0.18,105,360x640,Safari,en-IN,-330,portrait,Chennai,9044.11,2025-04-05 18:29:02,41
user_184,session_2212,Desktop,1,20,0,17,0.0,121,1920x1080,Firefox,en-IN,-330,landscape,Chennai,3621.02,2025-03-12 13:00:25,404
user_410,session_4928,Desktop,3,3,0,15,0.0,82,1366x768,Edge,en-US,-330,landscape,Ahmedabad,2686.06,2025-05-06 23:06:22,256
user_728,session_8746,Tablet,7,10,9,12,0.29,102,810x1080,Firefox,hi-IN,-330,portrait,Pune,3006.84,2025-02-05 16:24:24,22
user_540,session_6490,Mobile,5,8,4,3,0.48,188,414x896,Safari,en-IN,-330,portrait,Pune,2573.22,2025-01-10 15:48:03,51
user_460,session_5530,Desktop,5,9,0,9,0.0,138,1440x900,Chrome,en-IN,-330,landscape,Bengaluru,5286.3,2025-01-19 05:56:57,119
user_521,session_6255,Desktop,6,12,0,14,0.0,160,1440x900,Edge,en-US,-330,landscape,Delhi,4695.2,2025-01-10 15:11:07,364
